code,name,close,volume,news,momentum,score,date,change_rate,volume_ratio,flow,event,setup_score,final_score,reason,price
018880,한온시스템,4850,121205936,0.0,0.0,17.226707,2026-05-04,,,,,,,,
010170,대한광통신,17700,83718327,0.0,0.0,16.856674,2026-05-04,,,,,,,,
001510,SK증권,5190,77508271,0.0,0.0,16.779601,2026-05-04,,,,,,,,
035890,서희건설,3350,50028087,0.0,0.0,16.341801,2026-05-04,,,,,,,,
006910,보성파워텍,14350,45292645,0.0,0.0,16.242361,2026-05-04,,,,,,,,
006340,대원전선,17350,41125013,0.0,0.0,16.145833,2026-05-04,,,,,,,,
005930,삼성전자,232500,32920816,8.0,0.0,15.923322,2026-05-04,,,,,,,,
900300,오가닉티코스메틱,205,31085632,0.0,0.0,15.865962,2026-05-04,,,,,,,,
047040,대우건설,32150,27071233,0.0,0.0,15.727688,2026-05-04,,,,,,,,
003470,유안타증권,6030,22381065,0.0,0.0,15.537432,2026-05-04,,,,,,,,
000660,SK하이닉스,1447000,5776641,,12.52,0.508251,2026-05-05,12.52,,0.0,5.0,,,,
092190,서울바이오시스,11230,1875104,,29.98,0.478571,2026-05-05,29.98,,0.0,0.0,,,,
321260,프로이천,3230,10019326,,29.98,0.478571,2026-05-05,29.98,,0.0,0.0,,,,
006345,대원전선우,12920,2781852,,29.98,0.478571,2026-05-05,29.98,,0.0,0.0,,,,
033100,제룡전기,91500,2662605,,29.97,0.478478,2026-05-05,29.97,,0.0,0.0,,,,
059120,아진엑스텍,11580,14213226,,29.97,0.478478,2026-05-05,29.97,,0.0,0.0,,,,
007610,선도전기,10980,552967,,29.94,0.478198,2026-05-05,29.94,,0.0,0.0,,,,
015860,일진홀딩스,13410,3124666,,29.94,0.478198,2026-05-05,29.94,,0.0,0.0,,,,
189860,서전기전,8900,2099813,,29.93,0.478104,2026-05-05,29.93,,0.0,0.0,,,,
058450,한주에이알티,5450,432728,,29.92,0.478011,2026-05-05,29.92,,0.0,0.0,,,,
012450,한화에어로스페이스,1465000,450389,,3.39,0.451495,2026-05-05,3.39,,0.0,7.0,,,,
018880,한온시스템,4850,121205936,0.0,0.0,0.407143,2026-05-05,0.0,0.0,,,,,,
010170,대한광통신,17700,83718327,0.0,0.0,0.283427,2026-05-05,0.0,0.0,,,,,,
001510,SK증권,5190,77508271,0.0,0.0,0.262933,2026-05-05,0.0,0.0,,,,,,
035890,서희건설,3350,50028087,0.0,0.0,0.172244,2026-05-05,0.0,0.0,,,,,,
006910,보성파워텍,14350,45292645,0.0,0.0,0.156616,2026-05-05,0.0,0.0,,,,,,
006340,대원전선,17350,41125013,0.0,0.0,0.142862,2026-05-05,0.0,0.0,,,,,,
005930,삼성전자,232500,32920816,3.0,0.0,0.137216,2026-05-05,0.0,0.0,,,,,,
900300,오가닉티코스메틱,205,31085632,0.0,0.0,0.109731,2026-05-05,0.0,0.0,,,,,,
047040,대우건설,32150,27071233,0.0,0.0,0.096482,2026-05-05,0.0,0.0,,,,,,
092190,서울바이오시스,11230,1875104,,29.98,0.472222,2026-05-06,29.98,,0.0,0.0,,,,
321260,프로이천,3230,10019326,,29.98,0.472222,2026-05-06,29.98,,0.0,0.0,,,,
006345,대원전선우,12920,2781852,,29.98,0.472222,2026-05-06,29.98,,0.0,0.0,,,,
059120,아진엑스텍,11580,14213226,,29.97,0.472129,2026-05-06,29.97,,0.0,0.0,,,,
033100,제룡전기,91500,2662605,,29.97,0.472129,2026-05-06,29.97,,0.0,0.0,,,,
007610,선도전기,10980,552967,,29.94,0.471848,2026-05-06,29.94,,0.0,0.0,,,,
015860,일진홀딩스,13410,3124666,,29.94,0.471848,2026-05-06,29.94,,0.0,0.0,,,,
189860,서전기전,8900,2099813,,29.93,0.471755,2026-05-06,29.93,,0.0,0.0,,,,
058450,한주에이알티,5450,432728,,29.92,0.471661,2026-05-06,29.92,,0.0,0.0,,,,
332570,PS일렉트로닉스,10470,12765625,,29.9,0.471475,2026-05-06,29.9,,0.0,0.0,,,,
382800,지앤비에스 에코,9230,694433,,4.89,0.455229,2026-05-06,4.89,,0.0,1.0,1.0,0.6552288999783034,뉴스/이슈 반영,9230.0
003530,한화투자증권,8670,3878412,,5.86,0.2147,2026-05-06,5.86,,0.0,0.0,-1.0,0.014699500976350588,기술적 반등 후보,8670.0
078020,LS증권,8770,748314,,5.79,0.214016,2026-05-06,5.79,,0.0,0.0,-1.0,0.014016055543501799,기술적 반등 후보,8770.0
040910,아이씨디,6210,89074,,5.79,0.214016,2026-05-06,5.79,,0.0,0.0,-1.0,0.014016055543501799,기술적 반등 후보,6210.0
018880,한온시스템,5130,13128368,,5.77,0.213821,2026-05-06,5.77,,0.0,0.0,-1.0,0.013820785419830728,기술적 반등 후보,5130.0
060250,NHN KCP,21200,923640,,5.74,0.213528,2026-05-06,5.74,,0.0,0.0,-1.0,0.013527880234324108,기술적 반등 후보,21200.0
493330,지에프아이,19790,54370,,5.55,0.211673,2026-05-06,5.55,,0.0,0.0,-1.0,0.011672814059448894,기술적 반등 후보,19790.0
126730,코칩,23200,155383,,5.45,0.210696,2026-05-06,5.45,,0.0,0.0,-1.0,0.010696463441093484,기술적 반등 후보,23200.0
314130,지놈앤컴퍼니,7740,300085,,5.45,0.210696,2026-05-06,5.45,,0.0,0.0,-1.0,0.010696463441093484,기술적 반등 후보,7740.0
348350,위드텍,12320,112091,,5.39,0.210111,2026-05-06,5.39,,0.0,0.0,-1.0,0.010110653070080244,기술적 반등 후보,12320.0
