date,window,signal_day,eval_day,rank,code,name,entry_price,exit_price,expected_return_5d,actual_return,miss_by,failure_type,main_factor,main_interpretation,evidence_count
2026-05-15,1D,2026-05-14,2026-05-15,2,046890,서울반도체,18280,16120,0.0,-11.82,-11.82,absolute_loss,volume_drop,거래량 급감 (-47.8%) — 관심 식음,3
2026-05-15,1D,2026-05-14,2026-05-15,3,144960,뉴파워프라즈마,11630,10750,0.0,-7.57,-7.57,absolute_loss,volume_drop,거래량 급감 (-87.7%) — 관심 식음,2
2026-05-15,1D,2026-05-14,2026-05-15,7,000720,현대건설,169300,155000,0.0,-8.45,-8.45,absolute_loss,volume_drop,거래량 급감 (-32.3%) — 관심 식음,4
2026-05-15,1D,2026-05-14,2026-05-15,8,042700,한미반도체,409500,369000,0.0,-9.89,-9.89,absolute_loss,flow_weakening,외국인/기관 매수상위 제외 — 수급 약화 추정,2
2026-05-15,1D,2026-05-14,2026-05-15,9,035420,NAVER,213000,203500,0.0,-4.46,-4.46,absolute_loss,volume_drop,거래량 급감 (-37.7%) — 관심 식음,4
2026-05-15,1D,2026-05-14,2026-05-15,14,272210,한화시스템,116100,104300,0.0,-10.16,-10.16,absolute_loss,flow_weakening,외국인/기관 매수상위 제외 — 수급 약화 추정,3
2026-05-15,1D,2026-05-14,2026-05-15,1,005930,삼성전자,296000,270500,0.0,-8.61,-8.61,absolute_loss,flow_weakening,외국인/기관 매수상위 제외 — 수급 약화 추정,2
2026-05-15,1D,2026-05-14,2026-05-15,4,440110,파두,103500,100100,0.0,-3.29,-3.29,absolute_loss,intraday_reversal,갭상승 후 장중 하락 (-3.93%) — 매도세 우세,1
2026-05-15,1D,2026-05-14,2026-05-15,5,028050,삼성E&A,54700,50600,0.0,-7.5,-7.5,absolute_loss,flow_weakening,외국인/기관 매수상위 제외 — 수급 약화 추정,2
2026-05-15,1D,2026-05-14,2026-05-15,12,014910,성문전자,3365,2785,0.0,-17.24,-17.24,absolute_loss,volume_drop,거래량 급감 (-78.8%) — 관심 식음,3
2026-05-15,1D,2026-05-14,2026-05-15,15,105560,KB금융,156000,155600,0.0,-0.26,-0.26,absolute_loss,intraday_reversal,갭상승 후 장중 하락 (-1.21%) — 매도세 우세,1
2026-05-15,1D,2026-05-14,2026-05-15,16,008350,남선알미늄,2035,1812,0.0,-10.96,-10.96,absolute_loss,volume_drop,거래량 급감 (-79.8%) — 관심 식음,3
2026-05-15,1D,2026-05-14,2026-05-15,17,034220,LG디스플레이,15340,14100,0.0,-8.08,-8.08,absolute_loss,overheating,과열 후 조정 (어제 +8.3% → 오늘 -8.1%) — 차익실현 추정,2
2026-05-15,1D,2026-05-14,2026-05-15,18,035720,카카오,45950,44000,0.0,-4.24,-4.24,absolute_loss,volume_drop,거래량 급감 (-38.6%) — 관심 식음,4
2026-05-18,1D,2026-05-15,2026-05-18,1,090710,휴림로봇,13120,12520,0.0,-4.57,-4.57,absolute_loss,volume_drop,거래량 급감 (-80.4%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,2,036540,SFA반도체,8610,8500,0.0,-1.28,-1.28,absolute_loss,volume_drop,거래량 급감 (-65.4%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,3,018260,삼성에스디에스,189000,180600,0.0,-4.44,-4.44,absolute_loss,volume_drop,거래량 급감 (-67.9%) — 관심 식음,2
2026-05-18,1D,2026-05-15,2026-05-18,5,067310,하나마이크론,52900,48950,0.0,-7.47,-7.47,absolute_loss,volume_drop,거래량 급감 (-69.9%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,6,001740,SK네트웍스,8720,8250,0.0,-5.39,-5.39,absolute_loss,volume_drop,거래량 급감 (-36.8%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,7,034220,LG디스플레이,14100,13390,0.0,-5.04,-5.04,absolute_loss,volume_drop,거래량 급감 (-73.0%) — 관심 식음,2
2026-05-18,1D,2026-05-15,2026-05-18,8,454910,두산로보틱스,127400,117900,0.0,-7.46,-7.46,absolute_loss,volume_drop,거래량 급감 (-64.1%) — 관심 식음,4
2026-05-18,1D,2026-05-15,2026-05-18,9,004020,현대제철,46150,43450,0.0,-5.85,-5.85,absolute_loss,volume_drop,거래량 급감 (-57.1%) — 관심 식음,2
2026-05-18,1D,2026-05-15,2026-05-18,10,064400,LG씨엔에스,86600,81300,0.0,-6.12,-6.12,absolute_loss,volume_drop,거래량 급감 (-66.2%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,12,204620,글로벌텍스프리,6240,5780,0.0,-7.37,-7.37,absolute_loss,flow_weakening,외국인/기관 매수상위 제외 — 수급 약화 추정,2
2026-05-18,1D,2026-05-15,2026-05-18,13,319400,현대무벡스,41100,37550,0.0,-8.64,-8.64,absolute_loss,volume_drop,거래량 급감 (-61.6%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,14,048410,현대바이오,11170,10980,0.0,-1.7,-1.7,absolute_loss,volume_drop,거래량 급감 (-46.0%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,17,092790,넥스틸,20700,18930,0.0,-8.55,-8.55,absolute_loss,volume_drop,거래량 급감 (-81.9%) — 관심 식음,4
2026-05-18,1D,2026-05-15,2026-05-18,18,035250,강원랜드,16300,15950,0.0,-2.15,-2.15,absolute_loss,volume_drop,거래량 급감 (-43.1%) — 관심 식음,2
2026-05-18,1D,2026-05-15,2026-05-18,19,096770,SK이노베이션,123500,123300,0.0,-0.16,-0.16,absolute_loss,volume_drop,거래량 급감 (-56.6%) — 관심 식음,3
2026-05-18,1D,2026-05-15,2026-05-18,20,018880,한온시스템,5050,4910,0.0,-2.77,-2.77,absolute_loss,volume_drop,거래량 급감 (-70.3%) — 관심 식음,2
