date,code,name,close,volume,change_rate,open,high,low,trade_value
2026-05-13,003280,흥아해운,2835,57811757,0.0,2825.0,3190.0,2810.0,171661807909.0
2026-05-13,452260,한화갤러리아,3640,49406409,0.0,2825.0,3640.0,2790.0,161548749545.0
2026-05-13,012200,계양전기,12380,39481170,0.0,11910.0,13900.0,11550.0,513012809810.0
2026-05-13,034220,LG디스플레이,14170,37308733,0.0,12960.0,14850.0,12890.0,526726827605.0
2026-05-13,005930,삼성전자,284000,35435143,0.0,264000.0,285500.0,262000.0,9769622012750.0
2026-05-13,012800,대창,1840,23705302,0.0,1760.0,1997.0,1675.0,44976094159.0
2026-05-13,018880,한온시스템,5040,22144752,0.0,5100.0,5210.0,4940.0,112068939353.0
2026-05-13,008350,남선알미늄,1926,16201757,0.0,2000.0,2165.0,1926.0,32956126379.0
2026-05-13,093240,형지엘리트,880,14109288,0.0,840.0,1036.0,838.0,13604603304.0
2026-05-13,025820,이구산업,6760,13237517,0.0,6100.0,7170.0,6000.0,89683274965.0
2026-05-13,007610,선도전기,13600,13058134,0.0,13980.0,16200.0,13000.0,191463112690.0
2026-05-13,001510,SK증권,4475,11322543,0.0,4750.0,4780.0,4460.0,51246362371.0
2026-05-13,088350,한화생명,4980,8617163,0.0,4860.0,5060.0,4775.0,42482781723.0
2026-05-13,011000,진원생명과학,1081,8573875,0.0,1211.0,1266.0,1053.0,9836767342.0
2026-05-13,014910,성문전자,3295,8222705,0.0,3100.0,3295.0,2800.0,25456925670.0
2026-05-13,005880,대한해운,2385,8197571,0.0,2460.0,2525.0,2365.0,19828997815.0
2026-05-13,006340,대원전선,14630,7846810,0.0,15500.0,16550.0,14300.0,118555658155.0
2026-05-13,010140,삼성중공업,31050,7381743,0.0,32200.0,32200.0,30250.0,227905646225.0
2026-05-13,128820,대성산업,7530,7277074,0.0,6260.0,7910.0,6260.0,54570746565.0
2026-05-13,047400,유니온머티리얼,1965,7279669,0.0,1815.0,2145.0,1815.0,14579964822.0
2026-05-13,028670,팬오션,6120,6912043,0.0,5840.0,6150.0,5770.0,41343214775.0
2026-05-13,001440,대한전선,65400,6888281,0.0,67100.0,68200.0,63100.0,451618185450.0
2026-05-13,000660,SK하이닉스,1976000,6801403,0.0,1781000.0,1990000.0,1781000.0,12936059977000.0
2026-05-13,047040,대우건설,28950,6495299,0.0,28900.0,29750.0,28500.0,188044807450.0
2026-05-13,007460,에이프로젠,6760,6455868,0.0,5700.0,6760.0,5210.0,40646682385.0
2026-05-13,378850,화승알앤에이,3785,5462219,0.0,3335.0,4105.0,3290.0,21026943864.0
2026-05-13,010100,한국무브넥스,5300,5285519,0.0,5170.0,5960.0,5040.0,29255229365.0
2026-05-13,092200,디아이씨,9300,4932439,0.0,8750.0,9730.0,8500.0,45595225210.0
2026-05-13,034020,두산에너빌리티,120000,4596035,0.0,123800.0,124600.0,117500.0,550813607650.0
2026-05-13,066570,LG전자,191400,4385663,0.0,192800.0,195000.0,183900.0,832714257800.0
2026-05-13,005380,현대차,710000,4051565,0.0,642000.0,710000.0,642000.0,2785058460000.0
2026-05-13,006800,미래에셋증권,72900,2858841,0.0,73300.0,74500.0,70700.0,206950120450.0
2026-05-13,000270,기아,179500,2665422,0.0,166500.0,179500.0,163800.0,463233506500.0
2026-05-13,316140,우리금융지주,31150,2483790,0.0,32150.0,32800.0,31100.0,78266545100.0
2026-05-13,035720,카카오,42950,2337765,0.0,43950.0,44500.0,42300.0,100205957275.0
2026-05-13,088980,맥쿼리인프라,11180,2217021,0.0,11220.0,11240.0,11160.0,24822188530.0
2026-05-13,028050,삼성E&A,53000,2207111,0.0,53300.0,53900.0,51600.0,116031774550.0
2026-05-13,009830,한화솔루션,43150,1963559,0.0,44700.0,45050.0,42050.0,84498137600.0
2026-05-13,015760,한국전력,40750,1931450,0.0,42050.0,42400.0,40050.0,78663720300.0
2026-05-13,003490,대한항공,25750,1820399,0.0,24750.0,25900.0,24650.0,46249199825.0
2026-05-13,024110,기업은행,20800,1755955,0.0,21500.0,21650.0,20450.0,36578612625.0
2026-05-13,012330,현대모비스,649000,1749164,0.0,564000.0,677000.0,555000.0,1100841222500.0
2026-05-13,138930,BNK금융지주,17190,1346233,0.0,17640.0,17800.0,17060.0,23253476040.0
2026-05-13,042660,한화오션,121400,1318787,0.0,125600.0,127900.0,120100.0,161225019100.0
2026-05-13,105560,KB금융,152000,1284353,0.0,152800.0,155000.0,150900.0,195706788300.0
2026-05-13,323410,카카오뱅크,22050,1249849,0.0,23000.0,23000.0,21950.0,27780873250.0
2026-05-13,032640,LG유플러스,15490,1249170,0.0,16160.0,16160.0,15250.0,19341913185.0
2026-05-13,017670,SK텔레콤,105800,1222542,0.0,105800.0,106100.0,99300.0,125811396750.0
2026-05-13,064400,LG씨엔에스,73500,1203192,0.0,74100.0,74400.0,70800.0,87547523850.0
2026-05-13,011200,HMM,19830,1149268,0.0,20000.0,20250.0,19530.0,22694681010.0
2026-05-13,009150,삼성전기,1029000,1134999,0.0,923000.0,1060000.0,921000.0,1139576583000.0
2026-05-13,086280,현대글로비스,284000,1108877,0.0,268000.0,288000.0,260000.0,309203158000.0
2026-05-13,055550,신한지주,95200,1080975,0.0,98700.0,98800.0,94700.0,103799666550.0
2026-05-13,214450,파마리서치,314000,132645,0.0,314000.0,322000.0,304000.0,41478264750.0
2026-05-13,033160,엠케이전자,26600,925098,0.0,25100.0,26750.0,24050.0,23608809650.0
2026-05-13,050890,쏠리드,16650,2935416,0.0,17100.0,17100.0,16380.0,48976000520.0
2026-05-13,043260,성호전자,44500,1483380,0.0,47150.0,48150.0,43500.0,67524189475.0
